X10_NTHREADS:4
X10_NPLACES:1
Place(0) running on 4693@Archlinux, finishCount:0, totalCount:40000
working...(0,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(3,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(3,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(0,1), at Place(0), workerId:3, result:0, cost time:0ms
working...(3,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,2), at Place(0), workerId:1, result:1, cost time:0ms
working...(0,2), at Place(0), workerId:3, result:2, cost time:0ms
working...(2,3), at Place(0), workerId:6, result:1, cost time:0ms
working...(3,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,3), at Place(0), workerId:3, result:2, cost time:0ms
working...(0,3), at Place(0), workerId:1, result:3, cost time:0ms
working...(4,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(3,4), at Place(0), workerId:1, result:0, cost time:0ms
working...(5,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,4), at Place(0), workerId:3, result:2, cost time:0ms
working...(6,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,5), at Place(0), workerId:6, result:1, cost time:0ms
working...(6,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,4), at Place(0), workerId:3, result:3, cost time:0ms
working...(7,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,6), at Place(0), workerId:1, result:1, cost time:0ms
working...(3,5), at Place(0), workerId:3, result:2, cost time:0ms
working...(7,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(0,4), at Place(0), workerId:1, result:4, cost time:0ms
working...(7,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,6), at Place(0), workerId:6, result:2, cost time:0ms
working...(7,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,5), at Place(0), workerId:6, result:3, cost time:0ms
working...(8,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(3,6), at Place(0), workerId:1, result:3, cost time:0ms
working...(8,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,8), at Place(0), workerId:6, result:1, cost time:0ms
working...(6,7), at Place(0), workerId:1, result:0, cost time:0ms
working...(9,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,6), at Place(0), workerId:3, result:4, cost time:0ms
working...(9,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,8), at Place(0), workerId:6, result:2, cost time:0ms
working...(1,5), at Place(0), workerId:1, result:4, cost time:0ms
working...(9,2), at Place(0), workerId:5, result:0, cost time:0ms
